+------------+---------------+------------------+
| first_name |   last_name   |  Average height  |
| Jim        | Campbell      | 71.6666666666667 |
| Jim        | Riley         | 71.0             |
| Joe        | Burns         | 71.0             |
| John       | Kelly         | 70.5             |
| John       | Milligan      | 71.0             |
| Jose       | Reyes         | 71.5             |
| Juan       | Perez         | 71.5             |
| Nick       | Allen         | 70.0             |
| Sam        | Crane         | 71.5             |
| Steve      | Lombardozzi   | 71.5             |
| Bill       | Bailey        | 70.5             |
| Bunny      | Hearn         | 69.5             |
| Charlie    | Householder   | 69.0             |
| Dusty      | Miller        | 70.5             |
| Elmer      | Smith         | 70.5             |
| George     | Williams      | 70.5             |
| Jack       | Warner        | 70.3333333333333 |
| Jesse      | Baker         | 67.5             |
| Jim        | Devlin        | 69.6666666666667 |
| John       | Murphy        | 69.0             |
| John       | O'Brien       | 70.0             |
| Red        | Smith         | 69.0             |
| Ruben      | Amaro         | 70.5             |
| Ed         | Wheeler       | 69.5             |
| George     | Harper        | 69.0             |
| Joe        | Miller        | 69.5             |
| Joe        | Morgan        | 68.5             |
| Lee        | King          | 69.0             |
| Tom        | Long          | 69.5             |
| Bill       | Cunningham    | 68.5             |
| Tom        | Smith         | 67.5             |
+------------+---------------+------------------+
